employee_id,date,tasks_completed,work_hours,performance_rating
2,2023-01-15,14,8.8,4.4
2,2023-01-16,10,8.7,3.8
2,2023-01-17,9,8.3,3.9
2,2023-01-18,17,7.2,5.0
2,2023-01-19,8,9.2,4.4
2,2023-01-20,5,8.1,3.7
2,2023-01-21,9,7.2,3.8
2,2023-01-22,6,7.2,4.1
2,2023-01-23,5,7.5,4.1
2,2023-01-24,9,7.3,3.9
2,2023-01-25,13,8.9,3.9
2,2023-01-26,5,8.0,3.9
2,2023-01-27,3,8.3,3.6
2,2023-01-28,12,7.9,4.2
2,2023-01-29,8,8.2,4.0
2,2023-01-30,11,10.2,3.6
2,2023-01-31,3,10.2,3.6
2,2023-02-01,8,5.9,3.7
2,2023-02-02,11,8.3,4.9
2,2023-02-03,8,7.1,4.2
2,2023-02-04,11,9.2,3.8
2,2023-02-05,11,7.9,4.6
2,2023-02-06,9,8.0,4.0
2,2023-02-07,14,6.9,3.9
2,2023-02-08,17,8.7,3.4
2,2023-02-09,11,8.3,3.6
2,2023-02-10,10,9.2,4.0
2,2023-02-11,10,7.8,4.5
2,2023-02-12,6,8.6,4.7
2,2023-02-13,12,9.1,3.1
2,2023-02-14,9,7.7,4.4
2,2023-02-15,10,9.6,3.3
2,2023-02-16,10,8.4,4.0
2,2023-02-17,10,6.7,4.3
2,2023-02-18,4,8.4,3.5
2,2023-02-19,7,7.9,4.5
2,2023-02-20,12,7.5,3.6
2,2023-02-21,6,7.9,3.5
2,2023-02-22,7,10.0,4.0
2,2023-02-23,11,7.9,3.9
2,2023-02-24,7,7.7,2.8
2,2023-02-25,11,9.6,3.9
2,2023-02-26,10,7.9,3.5
2,2023-02-27,10,7.2,3.3
2,2023-02-28,7,9.7,4.4
2,2023-03-01,13,8.1,3.6
3,2023-01-01,11,7.0,3.9
3,2023-01-02,8,8.9,5.0
3,2023-01-03,11,7.3,3.8
3,2023-01-04,7,8.0,3.6
3,2023-01-05,5,7.4,4.4
3,2023-01-06,6,8.1,4.4
3,2023-01-07,11,7.3,4.3
3,2023-01-08,8,6.4,4.0
3,2023-01-09,8,7.9,3.4
3,2023-01-10,10,7.1,3.8
3,2023-01-11,8,8.8,3.4
3,2023-01-12,13,5.5,3.6
3,2023-01-13,6,8.1,3.9
3,2023-01-14,6,7.5,3.8
3,2023-01-15,12,8.9,3.8
3,2023-01-16,9,6.0,3.5
3,2023-01-17,10,8.0,4.8
3,2023-01-18,9,8.2,4.4
3,2023-01-19,11,8.3,3.8
3,2023-01-20,11,8.2,4.1
3,2023-01-21,6,8.8,3.6
3,2023-01-22,8,7.7,3.5
3,2023-01-23,13,8.8,3.5
3,2023-01-24,12,8.4,4.9
3,2023-01-25,7,6.2,4.7
3,2023-01-26,6,10.4,4.1
3,2023-01-27,16,8.5,4.1
3,2023-01-28,12,9.9,4.7
3,2023-01-29,9,7.0,3.9
3,2023-01-30,6,8.1,4.5
3,2023-01-31,11,7.8,3.8
3,2023-02-01,13,7.0,3.2
3,2023-02-02,8,7.7,4.8
3,2023-02-03,7,7.8,3.9
3,2023-02-04,10,7.8,4.3
3,2023-02-05,11,7.7,3.4
3,2023-02-06,10,8.0,4.0
3,2023-02-07,7,8.0,3.7
3,2023-02-08,11,7.7,4.8
3,2023-02-09,10,9.2,3.0
3,2023-02-10,6,6.6,3.6
3,2023-02-11,11,8.9,4.6
3,2023-02-12,7,7.5,4.2
3,2023-02-13,11,7.8,3.8
3,2023-02-14,14,6.9,4.3
3,2023-02-15,8,8.3,3.4
3,2023-02-16,9,7.5,4.5
3,2023-02-17,7,6.4,4.3
3,2023-02-18,11,5.9,4.8
3,2023-02-19,13,8.0,4.6
3,2023-02-20,9,8.3,3.1
3,2023-02-21,11,8.2,3.9
3,2023-02-22,6,8.2,3.5
3,2023-02-23,8,9.0,4.2
3,2023-02-24,7,8.3,4.5
3,2023-02-25,11,6.2,3.4
3,2023-02-26,10,8.5,3.6
3,2023-02-27,5,7.4,3.3
3,2023-02-28,8,7.0,4.5
3,2023-03-01,11,8.5,4.1
4,2023-01-01,12,7.4,4.1
4,2023-01-02,10,9.1,3.6
4,2023-01-03,5,8.0,4.9
4,2023-01-04,12,8.7,3.7
4,2023-01-05,13,8.6,3.2
4,2023-01-06,9,7.9,4.3
4,2023-01-07,7,8.4,4.3
4,2023-01-08,13,8.8,4.2
4,2023-01-09,7,8.4,4.1
4,2023-01-10,7,6.9,4.5
4,2023-01-11,16,8.0,4.0
4,2023-01-12,8,8.1,3.8
4,2023-01-13,7,8.2,3.8
4,2023-01-14,8,7.8,3.8
4,2023-01-15,10,9.0,3.3
4,2023-01-16,14,8.1,4.5
4,2023-01-17,16,7.5,4.7
4,2023-01-18,10,7.6,4.7
4,2023-01-19,9,7.6,3.9
4,2023-01-20,8,7.0,3.6
4,2023-01-21,2,8.0,4.1
4,2023-01-22,9,9.0,3.9
4,2023-01-23,17,6.9,4.2
4,2023-01-24,16,8.3,5.0
4,2023-01-25,7,7.4,3.7
4,2023-01-26,13,9.4,3.7
4,2023-01-27,12,7.4,4.3
4,2023-01-28,7,9.5,4.9
4,2023-01-29,8,8.3,4.2
4,2023-01-30,11,7.8,3.6
4,2023-01-31,9,8.0,4.9
4,2023-02-01,5,7.5,4.1
4,2023-02-02,14,10.5,3.7
4,2023-02-03,13,8.7,4.9
4,2023-02-04,8,8.6,4.6
4,2023-02-05,12,9.4,4.3
4,2023-02-06,14,7.8,4.1
4,2023-02-07,8,8.4,3.8
4,2023-02-08,14,8.2,4.0
4,2023-02-09,11,8.6,5.0
4,2023-02-10,13,8.2,4.8
4,2023-02-11,18,8.6,4.1
4,2023-02-12,12,9.1,3.5
4,2023-02-13,4,9.2,3.2
4,2023-02-14,12,9.6,4.0
4,2023-02-15,12,6.6,2.9
4,2023-02-16,12,8.2,3.7
4,2023-02-17,11,8.7,4.0
4,2023-02-18,9,6.5,3.7
4,2023-02-19,15,6.7,4.7
4,2023-02-20,14,8.3,4.2
4,2023-02-21,13,8.2,4.4
4,2023-02-22,13,7.3,4.9
4,2023-02-23,7,8.1,3.7
4,2023-02-24,8,7.6,3.1
4,2023-02-25,9,6.4,4.4
4,2023-02-26,13,7.0,4.0
4,2023-02-27,6,9.5,4.4
4,2023-02-28,11,8.2,3.0
4,2023-03-01,5,7.0,3.9
5,2023-01-01,11,7.4,4.3
5,2023-01-02,6,9.4,4.5
5,2023-01-03,8,9.3,4.1
5,2023-01-04,9,9.7,4.1
5,2023-01-05,5,7.3,3.8
5,2023-01-06,14,8.5,3.7
5,2023-01-07,11,9.7,4.2
5,2023-01-08,7,7.7,3.2
5,2023-01-09,12,6.8,3.3
5,2023-01-10,14,9.7,3.8
5,2023-01-11,10,7.8,4.4
5,2023-01-12,8,9.5,4.7
5,2023-01-13,12,8.5,4.1
5,2023-01-14,6,8.0,4.6
5,2023-01-15,9,9.1,3.1
5,2023-01-16,6,6.7,4.6
5,2023-01-17,13,8.0,4.2
5,2023-01-18,7,8.1,3.4
5,2023-01-19,8,6.4,3.8
5,2023-01-20,11,7.7,3.8
5,2023-01-21,12,8.4,4.2
5,2023-01-22,7,7.9,4.0
5,2023-01-23,2,8.7,4.0
5,2023-01-24,8,8.9,4.2
5,2023-01-25,9,10.1,3.9
5,2023-01-26,6,9.1,3.5
5,2023-01-27,7,7.4,5.0
5,2023-01-28,14,8.9,4.2
5,2023-01-29,10,8.2,4.5
5,2023-01-30,12,8.6,3.4
5,2023-01-31,9,8.3,3.6
5,2023-02-01,11,7.8,4.5
5,2023-02-02,8,8.6,4.4
5,2023-02-03,13,7.8,4.1
5,2023-02-04,10,6.9,3.3
5,2023-02-05,9,7.0,2.9
5,2023-02-06,7,9.6,4.5
5,2023-02-07,11,9.0,3.8
5,2023-02-08,10,6.6,3.2
5,2023-02-09,11,9.4,4.3
5,2023-02-10,13,8.8,4.1
5,2023-02-11,8,6.3,4.0
5,2023-02-12,8,8.2,4.7
5,2023-02-13,8,7.0,4.5
5,2023-02-14,9,8.6,3.5
5,2023-02-15,7,7.4,4.2
5,2023-02-16,11,8.0,4.3
5,2023-02-17,13,8.1,3.8
5,2023-02-18,17,8.0,4.0
5,2023-02-19,7,6.6,4.9
5,2023-02-20,8,7.3,4.4
5,2023-02-21,13,7.3,4.1
5,2023-02-22,11,6.8,4.2
5,2023-02-23,7,8.0,3.9
5,2023-02-24,11,7.4,3.3
5,2023-02-25,11,7.2,4.8
5,2023-02-26,9,8.6,4.8
5,2023-02-27,8,7.4,3.5
5,2023-02-28,7,8.0,3.6
5,2023-03-01,7,8.3,4.4
6,2023-01-01,10,9.2,3.4
6,2023-01-02,10,7.3,4.0
6,2023-01-03,7,7.9,3.5
6,2023-01-04,13,9.1,4.3
6,2023-01-05,16,6.9,3.8
6,2023-01-06,10,10.3,4.2
6,2023-01-07,5,8.1,3.9
6,2023-01-08,8,6.2,4.3
6,2023-01-09,9,8.4,5.0
6,2023-01-10,15,8.1,4.0
6,2023-01-11,9,8.3,4.2
6,2023-01-12,13,7.8,3.6
6,2023-01-13,11,8.0,4.4
6,2023-01-14,11,8.0,3.3
6,2023-01-15,9,7.4,3.9
6,2023-01-16,18,7.9,4.2
6,2023-01-17,8,7.1,3.9
6,2023-01-18,11,9.5,4.6
6,2023-01-19,6,7.8,4.7
6,2023-01-20,6,7.4,3.8
6,2023-01-21,12,8.2,4.0
6,2023-01-22,13,8.9,3.3
6,2023-01-23,10,6.6,3.9
6,2023-01-24,9,8.5,4.4
6,2023-01-25,13,7.4,2.7
6,2023-01-26,13,6.5,4.1
6,2023-01-27,18,8.1,3.5
6,2023-01-28,9,8.0,3.5
6,2023-01-29,6,7.8,4.9
6,2023-01-30,9,9.5,3.9
6,2023-01-31,13,7.4,4.9
6,2023-02-01,10,8.7,4.1
6,2023-02-02,11,8.0,3.6
6,2023-02-03,6,10.0,4.1
6,2023-02-04,2,7.6,4.1
6,2023-02-05,4,6.7,3.5
6,2023-02-06,8,7.0,4.3
6,2023-02-07,6,9.2,4.4
6,2023-02-08,8,9.0,3.6
6,2023-02-09,11,7.7,3.9
6,2023-02-10,11,8.5,5.0
6,2023-02-11,13,8.1,4.1
6,2023-02-12,11,8.5,4.5
6,2023-02-13,6,7.0,3.0
6,2023-02-14,9,7.8,3.9
6,2023-02-15,14,8.9,3.7
6,2023-02-16,15,7.8,4.8
6,2023-02-17,13,8.2,3.4
6,2023-02-18,6,7.5,4.3
6,2023-02-19,10,8.3,4.9
6,2023-02-20,11,8.6,3.1
6,2023-02-21,11,7.9,3.4
6,2023-02-22,5,7.4,4.3
6,2023-02-23,10,6.8,4.2
6,2023-02-24,9,7.9,4.0
6,2023-02-25,13,7.2,4.3
6,2023-02-26,18,7.1,3.8
6,2023-02-27,8,9.7,3.8
6,2023-02-28,14,6.6,3.1
6,2023-03-01,12,6.5,4.6
7,2023-01-01,13,7.4,5.0
7,2023-01-02,11,9.5,5.0
7,2023-01-03,11,9.0,4.3
7,2023-01-04,8,7.2,4.0
7,2023-01-05,4,8.7,4.5
7,2023-01-06,13,6.9,3.9
7,2023-01-07,8,7.9,3.9
7,2023-01-08,11,7.0,4.9
7,2023-01-09,11,7.8,3.5
7,2023-01-10,14,9.9,4.8
7,2023-01-11,7,8.1,3.1
7,2023-01-12,7,8.5,3.7
7,2023-01-13,10,8.0,4.9
7,2023-01-14,9,7.4,4.2
7,2023-01-15,11,8.8,4.6
7,2023-01-16,17,7.9,3.9
7,2023-01-17,8,7.8,4.2
7,2023-01-18,8,9.5,3.9
7,2023-01-19,4,5.6,4.4
7,2023-01-20,18,6.4,3.7
7,2023-01-21,7,8.3,3.3
7,2023-01-22,11,7.3,3.6
7,2023-01-23,14,7.0,4.0
7,2023-01-24,10,6.9,2.5
7,2023-01-25,10,8.6,5.0
7,2023-01-26,4,7.8,4.7
7,2023-01-27,7,7.5,3.5
7,2023-01-28,13,8.3,3.9
7,2023-01-29,7,8.9,4.0
7,2023-01-30,10,8.3,3.6
7,2023-01-31,13,8.1,3.3
7,2023-02-01,8,9.9,4.5
7,2023-02-02,13,8.1,4.4
7,2023-02-03,6,7.4,4.5
7,2023-02-04,6,7.0,4.2
7,2023-02-05,9,8.0,4.7
7,2023-02-06,19,6.9,4.2
7,2023-02-07,14,9.2,5.0
7,2023-02-08,7,8.2,4.7
7,2023-02-09,12,9.3,3.9
7,2023-02-10,10,9.3,4.0
7,2023-02-11,8,8.8,4.3
7,2023-02-12,5,7.6,3.5
7,2023-02-13,9,9.2,4.8
7,2023-02-14,8,8.4,4.0
7,2023-02-15,11,6.8,4.6
7,2023-02-16,12,8.3,3.9
7,2023-02-17,8,8.1,5.0
7,2023-02-18,8,8.5,4.1
7,2023-02-19,13,8.4,3.9
7,2023-02-20,12,7.9,3.5
7,2023-02-21,10,5.8,4.4
7,2023-02-22,21,7.5,4.0
7,2023-02-23,8,8.5,3.9
7,2023-02-24,12,7.5,4.4
7,2023-02-25,14,8.4,4.9
7,2023-02-26,5,8.0,3.8
7,2023-02-27,8,6.9,3.5
7,2023-02-28,12,9.0,4.9
7,2023-03-01,15,7.9,3.9
8,2023-01-01,13,8.1,4.6
8,2023-01-02,11,9.0,4.3
8,2023-01-03,14,5.3,4.3
8,2023-01-04,8,8.5,4.7
8,2023-01-05,15,9.6,4.7
8,2023-01-06,11,8.1,3.2
8,2023-01-07,5,10.2,3.9
8,2023-01-08,17,8.0,4.8
8,2023-01-09,11,7.3,3.3
8,2023-01-10,10,7.6,3.7
8,2023-01-11,10,6.5,4.4
8,2023-01-12,7,7.7,3.6
8,2023-01-13,13,6.1,4.1
8,2023-01-14,16,8.2,3.6
8,2023-01-15,5,9.1,4.0
8,2023-01-16,10,7.3,3.2
8,2023-01-17,9,8.3,4.3
8,2023-01-18,11,7.5,4.1
8,2023-01-19,7,9.6,4.4
8,2023-01-20,5,5.8,3.6
8,2023-01-21,6,7.9,4.0
8,2023-01-22,4,8.2,4.2
8,2023-01-23,12,7.9,4.0
8,2023-01-24,12,6.9,4.1
8,2023-01-25,8,7.5,4.0
8,2023-01-26,6,9.3,3.6
8,2023-01-27,11,7.4,4.9
8,2023-01-28,12,9.0,3.7
8,2023-01-29,9,8.3,4.1
8,2023-01-30,15,8.8,3.1
8,2023-01-31,9,9.0,4.6
8,2023-02-01,9,6.9,3.9
8,2023-02-02,15,9.3,4.7
8,2023-02-03,8,6.3,3.6
8,2023-02-04,12,6.8,3.7
8,2023-02-05,12,7.5,4.0
8,2023-02-06,9,7.9,3.8
8,2023-02-07,6,7.7,4.8
8,2023-02-08,8,8.7,3.8
8,2023-02-09,11,7.9,4.2
8,2023-02-10,9,6.8,4.1
8,2023-02-11,10,8.6,4.3
8,2023-02-12,9,7.2,3.7
8,2023-02-13,10,6.9,4.1
8,2023-02-14,9,5.5,3.9
8,2023-02-15,11,6.8,4.2
8,2023-02-16,9,10.6,3.2
8,2023-02-17,15,9.1,4.0
8,2023-02-18,6,8.3,3.8
8,2023-02-19,8,8.4,4.0
8,2023-02-20,10,6.2,4.6
8,2023-02-21,8,7.4,4.7
8,2023-02-22,10,9.1,4.1
8,2023-02-23,13,8.6,4.0
8,2023-02-24,7,7.8,4.6
8,2023-02-25,9,8.7,4.1
8,2023-02-26,12,7.2,4.2
8,2023-02-27,8,7.4,4.4
8,2023-02-28,8,8.7,4.3
8,2023-03-01,12,8.8,4.4
9,2023-01-01,11,8.4,4.5
9,2023-01-02,5,7.8,3.6
9,2023-01-03,9,7.2,3.8
9,2023-01-04,10,8.0,3.6
9,2023-01-05,3,6.4,3.6
9,2023-01-06,7,8.8,3.9
9,2023-01-07,8,8.6,3.4
9,2023-01-08,9,5.0,4.1
9,2023-01-09,11,8.2,3.8
9,2023-01-10,7,8.5,4.3
9,2023-01-11,10,8.4,3.7
9,2023-01-12,8,7.3,3.8
9,2023-01-13,11,7.2,4.6
9,2023-01-14,3,7.7,4.1
9,2023-01-15,14,8.8,3.6
9,2023-01-16,8,6.7,3.6
9,2023-01-17,14,8.3,4.1
9,2023-01-18,9,8.4,3.9
9,2023-01-19,5,5.6,3.9
9,2023-01-20,11,9.0,4.6
9,2023-01-21,17,7.4,3.8
9,2023-01-22,13,7.9,3.8
9,2023-01-23,17,6.6,2.9
9,2023-01-24,7,7.5,3.9
9,2023-01-25,13,8.3,4.2
9,2023-01-26,7,9.0,4.0
9,2023-01-27,7,6.4,4.4
9,2023-01-28,6,7.1,4.6
9,2023-01-29,11,7.1,4.3
9,2023-01-30,15,7.5,3.9
9,2023-01-31,5,8.7,3.7
9,2023-02-01,8,7.8,3.5
9,2023-02-02,10,10.4,4.4
9,2023-02-03,18,6.8,4.6
9,2023-02-04,6,8.7,4.3
9,2023-02-05,6,8.1,4.8
9,2023-02-06,8,8.2,4.0
9,2023-02-07,14,8.2,4.1
9,2023-02-08,13,6.4,3.6
9,2023-02-09,4,7.9,3.2
9,2023-02-10,12,8.0,4.1
9,2023-02-11,18,6.7,3.7
9,2023-02-12,7,9.3,4.3
9,2023-02-13,11,8.5,4.6
9,2023-02-14,9,7.2,3.4
9,2023-02-15,15,9.0,4.0
9,2023-02-16,12,7.2,5.0
9,2023-02-17,10,10.0,4.0
9,2023-02-18,4,7.8,4.7
9,2023-02-19,10,6.6,3.9
9,2023-02-20,14,6.4,4.2
9,2023-02-21,9,8.2,3.7
9,2023-02-22,16,8.4,4.0
9,2023-02-23,13,9.8,3.9
9,2023-02-24,7,7.0,4.2
9,2023-02-25,11,7.7,4.0
9,2023-02-26,16,6.7,4.3
9,2023-02-27,8,7.5,4.1
9,2023-02-28,9,10.1,3.9
9,2023-03-01,5,8.7,3.9
10,2023-01-01,13,9.4,3.7
10,2023-01-02,11,7.3,4.4
10,2023-01-03,11,6.8,4.4
10,2023-01-04,5,7.6,4.3
10,2023-01-05,17,10.0,3.2
10,2023-01-06,10,7.1,3.3
10,2023-01-07,15,7.9,4.8
10,2023-01-08,10,6.7,4.2
10,2023-01-09,8,5.4,4.1
10,2023-01-10,8,8.7,4.6
10,2023-01-11,10,7.5,4.0
10,2023-01-12,6,7.3,4.0
10,2023-01-13,20,6.9,3.5
10,2023-01-14,7,8.7,3.4
10,2023-01-15,9,9.2,3.5
10,2023-01-16,13,8.8,3.9
10,2023-01-17,13,9.7,4.5
10,2023-01-18,12,8.4,4.7
10,2023-01-19,17,8.7,3.2
10,2023-01-20,8,7.6,4.1
10,2023-01-21,10,8.6,3.9
10,2023-01-22,13,7.7,4.9
10,2023-01-23,15,8.7,4.2
10,2023-01-24,8,7.4,3.4
10,2023-01-25,12,8.0,4.3
10,2023-01-26,9,8.7,4.4
10,2023-01-27,9,6.5,3.8
10,2023-01-28,10,7.5,3.6
10,2023-01-29,8,9.1,4.3
10,2023-01-30,7,9.2,4.1
10,2023-01-31,15,7.6,4.1
10,2023-02-01,10,7.0,3.3
10,2023-02-02,11,7.4,4.8
10,2023-02-03,8,6.9,4.6
10,2023-02-04,12,7.6,3.3
10,2023-02-05,12,7.0,3.5
10,2023-02-06,4,7.8,3.5
10,2023-02-07,12,6.2,3.5
10,2023-02-08,9,7.9,3.3
10,2023-02-09,8,8.2,4.0
10,2023-02-10,11,7.5,3.9
10,2023-02-11,11,6.7,4.4
10,2023-02-12,7,8.8,4.8
10,2023-02-13,8,9.0,4.1
10,2023-02-14,17,8.6,4.2
10,2023-02-15,7,9.0,4.6
10,2023-02-16,9,6.5,4.3
10,2023-02-17,9,8.6,3.5
10,2023-02-18,21,8.0,3.9
10,2023-02-19,5,7.9,4.4
10,2023-02-20,7,9.7,4.7
10,2023-02-21,11,7.5,4.1
10,2023-02-22,7,7.2,3.7
10,2023-02-23,8,7.9,3.6
10,2023-02-24,12,7.4,4.1
10,2023-02-25,16,8.5,3.4
10,2023-02-26,12,7.2,4.0
10,2023-02-27,9,9.1,5.0
10,2023-02-28,8,8.3,4.4
10,2023-03-01,13,6.7,4.3
